주소,"강서지구 3,37.5901984197481, 126.81362533492893","중랑천 2,37.6030830331226, 127.072105737988","안양천  3,37.513562487735406, 126.87461172643478","탄천 2,37.49508293706438, 127.10150560559426","원천리천 3,37.26481224039535, 127.04976224622416","서호 3,37.280408134249136, 126.98755251443214","안성천 1,36.99139105195746, 127.20539544460591","경안천 2,37.309938272435886, 127.23553552424399","상패천 2,37.91927602221171, 127.05389142205611","왕송호수 3,37.30748917786908, 126.94731063485848","황구지천 2,37.20796105720859, 127.02548060229643","문산천 2,37.854639694880476, 126.75854096959318","포천천 2,37.89531095584674, 127.20096778249416","진위천 2,37.09793604326866, 127.08393302456683","남한강 2,37.460459499061464, 127.49638603216884","청미천 1,37.12186508716677, 127.39487102679448","시화호 1,37.30574012802834, 126.67318900588819","한강하구 1,37.63900600625263, 126.7392737093319","남양호 2,37.014705010495824, 126.80548911195082","화성호 2,37.11569165016753, 126.68399070425345","임진강 2,37.78837469359229, 126.66443256564555","팔당호 2,37.517786765600256, 127.30085067928745","공릉천 1,37.71153311751638, 126.84431089180522","천수만 1,36.606686550264854, 126.42022590245743","송정저수지 2,36.776518685002266, 127.37727865534171","도당천 2,36.80714447844311, 126.52479040293552","논산천 2,36.18278993438778, 127.13602531594704","풍세천 1,36.73350817705159, 127.1244086501327","곡교천 1,36.71877449174619, 127.15174380564193","금강호 2,36.003067864761206, 126.7392621031086","병천천 2,36.725838913572076, 127.33975466921613","간월호 2,36.64982878482214, 126.45513048255029","봉강천 1,36.764423602867765, 127.09015473839389","삽교호 2,36.871878675924705, 126.8408688154442","해미천 2,36.702223625170994, 126.56263020795463","봉선저수지 2,36.122350318713586, 126.77672013431376","아산호 2,36.90267012782007, 126.90366071698058","잠홍지 2,36.86183091315654, 126.49751943843305","석문간척지 2,36.98373310641944, 126.54384726738202","대호 2,37.018417616519976, 126.48222083422783","무한천 2,36.71991194571029, 126.82242403818584","부남호 2,36.67319913351787, 126.35083023955421","조류지 2,35.7835057158404, 126.63542818010029","금강하구둑 1,36.019581075069965, 126.74774856012905","만경강 1,35.892198153374686, 126.99399821147692","동림저수지 1,35.549802869235755, 126.71940396468966","동진강 1,35.68373784028254, 126.86079504883465","원평천 3,35.74647979945319, 126.93850431156142","전주천 2,35.802060277740146, 127.1716072485318","산수저수지 2,36.6994319040145, 126.56852268525259","함평대동저수지 2,35.13211104219479, 126.50607906456341","사내간척지 2,34.46251975253601, 126.7333378843619","만덕간척지 2,34.56578321910065, 126.7615639132014","고막원천 2,35.06842526203833, 126.59162469994376","주암댐 2,35.06371924138319, 127.23767782670512","영산강 2,34.76893810284395, 126.35098968807019","영암호 1,34.69724570173779, 126.47537026437189","고천암 2,34.52161252340564, 126.47457655553478","순천만 1,34.88677475630541, 127.50729078209247","금호호 1,34.62057239836871, 126.39840653700985","강진만 2,34.490791668173664, 126.77354817448324","지석천 2,35.00917066621701, 126.9113644244127","우습제 2,34.94017348080215, 126.57951161334536","담양습지 3,35.24009556727233, 126.88387920926465","황룡강 2,35.32701483996603, 126.79783650573678","한탄강 2,38.20119540754313, 127.27737191150247","토교저수지 2,38.28934502892065, 127.28936308358267","섬강 1,37.500690845580344, 127.99213918049267","철원평야 2,38.29310283134329, 127.21422992889252","남대천 3,37.75220997167653, 128.90134105532326","소양강 하류 2,37.89698617983393, 127.7454239624107","원주천 2,37.382704055767405, 127.94147033377192","남대천 3,38.107964222902496, 128.64361106592784","보강천 2,36.786518139596225, 127.57854158748","백곡지 2,36.86662724997134, 127.39976155953663","미호천 1,36.5162887821276, 127.31976281396229","무심천 2,36.58091002074261, 127.50346917018088","충주호 3,36.96033958118106, 128.0662729272722","안심습지 3,35.86502982622569, 128.74718716576282","형산강 1,35.92345596127968, 129.23887659738637","김천 2,36.09212308013244, 128.12331495113736","구미 3,36.18780476544952, 128.3702147007899","낙동강 2,35.83992615966229, 128.46110345037778","금호강 1,35.8174026069283, 128.48104618415317","낙동강하구 2,35.104959005687974, 128.9459320237596","태화강 3,35.53764149997886, 129.36999476035592","장척저수지 3,35.43456283906837, 128.49224351135572","양산천 2,35.32377076603513, 129.02006984526182","양산발생지 3,35.470702520283716, 129.26921645925657","낙동강 2,35.349387768425835, 128.9331287407582","주남저수지 3,35.3148538085958, 128.67272531322178","창녕우포 3,35.551935684595, 128.4139408551069","사천만 3,35.03397029572857, 128.0309809363544","목포늪 3,35.56254130753707, 128.40618339231","사지포 3,35.561613790429384, 128.4333952070682","산남저수지 3,35.35126887288887, 128.17443850327453","동판저수지 2,35.30133784622012, 128.68634622602417","화포천 2,35.31163742899077, 128.7875952437551","낙동강 3,35.27987524642292, 129.009763931276","하도리 2,33.51695001412742, 126.8838772052322","용수저수지 2,33.31741751732376, 126.18752882294538","오조리 3,33.463866194337236, 126.91796178149626","종달리 3,33.49242412098807, 126.89071411147393"
서울특별시 서초구,22.66,13.74,14.33,6.21,24.37,22.94,56.83,26.35,48.48,20.98,30.65,47.79,48.12,43.12,41.01,51.42,37.4,31.1,55.88,51.23,46.9,23.97,30.29,111.63,84.35,87.65,144.93,83.8,85.7,166.69,88.55,105.92,80.13,70.11,96.36,153.07,65.6,83.83,70.44,71.05,86.94,108.52,192.33,164.75,176.99,216.84,200.72,193.34,187.39,96.42,265.69,337.0,325.36,271.44,269.7,308.0,313.84,333.16,291.88,323.41,333.6,275.36,285.72,249.82,240.72,82.64,92.39,84.68,91.42,167.28,77.76,81.03,157.66,91.38,75.92,110.54,108.73,108.45,236.15,262.25,182.68,186.89,222.79,225.87,315.19,300.74,262.58,298.84,300.12,291.94,282.3,247.73,286.71,246.35,247.66,258.17,284.23,288.08,302.26,441.27,469.54,447.09,443.98
서울특별시 강남구,22.15,9.78,15.25,5.37,28.08,26.87,60.13,28.42,44.7,24.95,34.45,45.32,44.15,46.74,40.11,53.64,40.58,30.35,59.85,55.02,45.23,22.34,28.05,115.54,87.4,91.55,148.6,87.42,89.27,170.6,91.74,109.84,83.8,74.07,100.31,156.97,69.52,87.67,74.21,74.7,90.88,112.37,196.26,168.67,180.77,220.73,204.56,197.15,191.05,100.37,269.62,340.85,329.2,275.35,273.36,311.94,317.76,337.07,295.4,327.34,337.43,279.16,289.62,253.64,244.57,78.68,88.43,83.34,87.5,165.32,74.51,80.32,154.83,93.9,78.79,113.9,111.71,109.4,238.15,263.72,185.17,188.95,225.12,228.2,317.61,302.5,265.17,301.05,302.03,294.21,284.81,250.32,289.86,248.95,250.23,261.1,286.73,290.5,304.52,445.07,473.46,450.87,447.77
서울특별시 송파구,27.1,10.28,20.4,2.2,28.21,28.06,58.84,25.47,45.23,26.95,34.83,48.63,43.16,46.37,34.97,50.59,44.72,35.15,61.61,57.96,49.37,17.2,31.79,117.87,85.52,94.02,148.11,86.86,88.58,171.21,90.12,112.15,83.42,75.22,102.37,157.56,70.36,90.4,77.2,78.04,91.87,115.06,197.01,169.27,180.67,221.18,204.75,197.17,190.51,102.4,270.31,341.02,329.35,275.87,272.78,312.73,318.35,337.61,294.41,328.02,337.55,279.13,290.13,253.69,244.8,77.82,87.64,78.19,87.09,160.29,70.52,75.2,150.33,91.15,76.6,112.62,109.65,105.0,234.64,259.69,182.27,185.52,221.99,225.06,314.58,298.73,262.4,297.77,298.39,290.99,281.92,247.55,288.02,246.18,247.43,258.84,283.83,287.47,301.28,444.97,474.06,450.74,447.67
서울특별시 강동구,28.14,9.3,22.05,4.36,30.22,30.26,60.34,26.4,43.71,29.25,36.86,48.32,41.17,48.19,33.77,51.34,46.97,35.98,63.86,60.3,49.59,15.68,31.82,120.17,86.76,96.33,149.82,88.58,90.25,173.22,91.46,114.45,85.19,77.36,104.64,159.56,72.44,92.73,79.53,80.37,93.97,117.38,199.04,171.27,182.5,223.15,206.65,199.02,192.2,104.67,272.33,342.91,331.22,277.85,274.44,314.77,320.34,339.58,295.93,330.03,339.42,280.96,292.1,255.54,246.7,75.83,85.66,76.66,85.21,158.45,68.22,74.01,148.16,91.98,77.72,114.07,110.8,104.76,235.0,259.7,182.99,185.94,222.58,225.65,315.22,298.92,263.18,298.27,298.67,291.53,282.63,248.33,289.22,246.96,248.18,259.86,284.54,288.11,301.81,446.77,476.04,452.53,449.47
부산광역시 중구,340.23,328.46,330.18,317.0,298.77,303.49,266.29,293.3,359.29,308.05,295.08,367.02,350.66,282.28,295.76,268.08,323.43,348.49,291.71,307.27,365.77,309.79,349.64,288.52,238.1,294.45,209.02,249.51,246.64,230.16,235.93,288.73,254.1,278.23,284.54,233.1,276.69,300.19,305.99,312.63,267.95,297.82,229.81,230.25,204.17,215.54,207.04,202.63,185.45,283.94,229.78,221.82,215.78,222.11,163.37,247.27,237.57,242.38,141.04,246.3,217.3,193.35,224.11,195.84,204.47,378.06,386.54,282.09,389.65,294.46,330.94,271.37,335.58,228.11,244.72,220.07,214.19,223.72,88.24,92.78,137.01,134.33,96.6,93.52,7.86,56.92,61.13,24.22,45.88,28.5,40.07,74.86,91.49,76.16,74.27,82.55,38.2,31.88,19.42,264.88,328.6,266.61,266.26
부산광역시 서구,340.57,328.87,330.52,317.39,299.09,303.8,266.59,293.69,359.75,308.36,295.38,367.4,351.15,282.57,296.25,268.46,323.67,348.83,291.9,307.46,366.11,310.23,350.01,288.48,238.38,294.5,208.97,249.69,246.83,229.92,236.18,288.72,254.29,278.39,284.57,232.94,276.87,300.26,306.1,312.75,268.05,297.8,229.45,230.03,203.93,215.06,206.66,202.3,185.19,283.97,229.09,220.84,214.84,221.39,162.63,246.43,236.7,241.44,140.18,245.4,216.33,192.59,223.33,195.21,203.87,378.61,387.1,282.73,390.2,295.35,331.56,271.98,336.42,228.46,245.04,220.23,214.44,224.3,88.91,93.82,137.33,134.84,97.0,93.93,7.18,58.08,61.12,25.12,47.03,29.16,40.03,74.94,90.69,76.25,74.38,82.19,38.15,32.06,20.27,263.73,327.47,265.45,265.11
부산광역시 동구,338.82,326.91,328.78,315.48,297.39,302.15,264.99,291.8,357.62,306.72,293.75,365.52,348.93,280.99,294.03,266.57,322.24,347.1,290.63,306.2,364.34,308.15,348.16,287.98,236.83,293.68,208.51,248.45,245.57,230.1,234.73,288.14,253.04,277.24,283.85,232.88,275.64,299.4,305.08,311.73,267.09,297.26,230.07,230.16,204.13,216.09,207.36,202.83,185.45,283.24,230.91,223.75,217.61,223.32,164.62,248.81,239.2,244.18,142.65,247.99,219.21,194.66,225.48,196.81,205.32,376.2,384.65,280.06,387.8,291.94,328.94,269.4,333.15,226.68,243.37,219.06,212.98,221.81,86.15,90.03,135.68,132.57,95.09,92.01,9.44,54.12,60.6,21.75,43.06,26.51,39.64,74.08,92.91,75.38,73.43,82.85,37.81,30.97,17.05,267.46,331.07,269.21,268.85
부산광역시 영도구,343.46,331.58,333.41,320.15,302.02,306.76,269.59,296.46,362.32,311.33,298.36,370.18,353.63,285.58,298.74,271.23,326.79,351.73,295.13,310.69,368.98,312.84,352.82,292.12,241.42,297.99,212.62,252.94,250.06,233.8,239.28,292.32,257.53,281.69,288.1,236.74,280.13,303.72,309.48,316.13,271.46,301.42,233.42,233.89,207.81,219.08,210.64,206.25,189.08,287.5,233.06,224.38,218.46,225.34,166.57,250.25,240.46,245.09,143.97,249.13,219.89,196.51,227.23,199.21,207.89,380.91,389.35,284.73,392.5,296.27,333.62,274.09,337.58,231.32,247.99,223.52,217.54,226.51,90.81,93.83,140.29,137.27,99.75,96.67,11.2,56.71,64.72,26.22,45.99,31.21,43.67,78.39,94.59,79.69,77.78,86.16,41.81,35.35,21.63,266.23,330.22,267.88,267.58
부산광역시 부산진구,336.2,324.13,326.16,312.74,294.82,299.6,262.5,289.07,354.71,304.18,291.23,362.8,345.96,278.5,291.06,263.85,319.88,344.49,288.41,303.97,361.69,305.27,345.45,286.4,234.38,291.83,207.0,246.25,243.36,229.15,232.36,286.49,250.84,275.12,282.08,231.72,273.45,297.51,303.05,309.71,265.13,295.65,229.55,229.19,203.22,215.96,206.92,202.23,184.59,281.47,231.6,225.64,219.36,224.13,165.5,250.09,240.63,245.88,144.07,249.52,221.09,195.63,226.52,197.29,205.62,373.09,381.51,276.77,384.69,288.24,325.69,266.18,329.51,224.05,240.83,216.93,210.61,218.66,82.84,86.22,133.18,129.59,92.41,89.33,11.69,50.62,59.19,18.14,39.44,23.42,38.46,72.33,94.09,73.6,71.58,82.49,36.7,29.24,13.59,270.48,333.89,272.29,271.89
부산광역시 동래구,335.39,323.02,325.37,311.7,294.11,298.95,261.96,288.08,353.34,303.54,290.62,361.79,344.44,277.97,289.57,262.86,319.55,343.71,288.32,303.88,360.84,303.97,344.49,287.35,233.92,292.36,208.06,246.22,243.32,231.0,232.04,287.34,250.8,275.21,282.74,233.28,273.42,297.98,303.29,309.96,265.49,296.55,231.95,230.99,205.13,218.84,209.43,204.54,186.59,282.13,235.34,230.39,224.0,227.99,169.44,254.36,245.02,250.48,148.49,253.99,225.81,199.63,230.59,200.81,208.96,371.27,379.62,274.56,382.88,284.71,323.54,264.13,326.23,223.26,240.19,217.02,210.29,216.79,80.69,81.9,132.7,128.15,91.65,88.57,16.86,45.46,60.67,15.66,34.4,22.41,40.44,73.23,98.35,74.46,72.35,85.22,38.8,30.62,12.02,275.72,339.09,277.54,277.14
부산광역시 남구,340.22,328.12,330.19,316.73,298.86,303.64,266.55,293.07,358.66,308.22,295.28,366.8,349.87,282.55,294.98,267.85,323.94,348.52,292.47,308.04,365.72,309.22,349.46,290.39,238.44,295.87,210.97,250.31,247.43,232.94,236.42,290.5,254.9,279.18,286.1,235.59,277.51,301.55,307.11,313.77,269.19,299.65,233.15,232.99,206.99,219.35,210.48,205.86,188.34,285.5,234.43,227.35,221.23,226.87,168.18,252.42,242.82,247.8,146.27,251.62,222.82,198.24,229.07,200.28,208.73,376.93,385.33,280.49,388.53,291.3,329.42,269.95,332.73,228.08,244.87,220.99,214.67,222.48,86.55,88.61,137.23,133.5,96.43,93.35,13.05,51.59,63.12,21.61,40.77,27.35,42.3,76.34,96.51,77.62,75.61,85.99,40.52,33.24,17.31,270.65,334.39,272.36,272.03
부산광역시 북구,329.77,317.86,319.73,306.43,288.36,293.11,255.97,282.75,348.6,297.69,284.72,356.47,339.93,271.97,285.03,257.52,313.26,338.05,281.72,297.28,355.29,299.11,339.11,279.55,227.82,285.01,200.14,239.55,236.66,222.38,225.74,279.64,244.13,268.38,275.24,224.9,266.74,290.7,296.28,302.93,258.34,288.8,222.95,222.41,196.46,209.6,200.37,195.59,177.86,274.63,225.94,221.61,215.09,218.61,160.08,245.13,235.87,241.52,139.36,244.89,217.02,190.28,221.26,191.42,199.59,367.27,375.74,271.29,378.86,284.22,320.13,260.57,325.14,217.63,234.34,210.19,204.0,212.92,77.45,83.83,126.66,123.57,86.04,82.96,11.02,51.16,52.34,14.33,39.55,17.71,31.68,65.48,89.14,66.75,64.75,76.03,29.94,22.39,9.36,268.87,331.71,270.84,270.35
부산광역시 해운대구,342.16,329.62,332.15,318.35,300.94,305.81,268.87,294.75,359.76,310.41,297.5,368.44,350.76,284.88,295.91,269.54,326.55,350.5,295.42,310.97,367.59,310.45,351.17,294.68,240.88,299.63,215.4,253.34,250.44,238.29,239.05,294.66,257.91,282.37,290.03,240.61,280.54,305.23,310.49,317.16,272.72,303.87,239.1,238.29,212.41,225.78,216.54,211.72,193.85,289.42,241.65,235.14,228.99,234.17,175.53,260.01,250.48,255.55,153.92,259.31,230.61,205.64,236.52,207.31,215.61,377.35,385.64,280.3,388.96,288.84,329.33,270.02,330.72,230.05,247.07,224.19,217.31,222.85,86.67,84.81,139.68,134.6,98.52,95.45,20.83,45.65,67.99,22.11,35.51,29.44,47.67,80.57,104.04,81.79,79.67,92.22,45.99,37.93,19.07,278.05,341.97,279.7,279.41
부산광역시 사하구,337.4,325.89,327.34,314.37,295.87,300.55,263.28,290.65,356.95,305.09,292.1,364.35,348.46,279.25,293.56,265.43,320.21,345.63,288.32,303.88,362.96,307.4,346.94,284.41,235.04,290.62,204.89,246.11,243.24,225.56,232.76,284.69,250.7,274.72,280.63,228.66,273.27,296.4,302.35,308.99,264.25,293.75,224.96,225.68,199.56,210.51,202.15,197.83,180.81,280.02,224.56,216.79,210.69,216.88,158.13,242.06,232.39,237.27,135.85,241.14,212.26,188.12,218.88,190.65,199.3,376.13,384.67,280.61,387.72,294.48,329.36,269.73,335.27,225.33,241.8,216.59,211.03,221.93,87.03,94.14,134.11,132.26,94.07,91.01,2.63,60.04,57.15,24.72,48.7,27.48,36.05,71.16,86.25,72.48,70.67,77.7,34.14,28.63,19.75,260.84,324.29,262.66,262.26
부산광역시 금정구,331.16,318.62,321.15,307.34,289.94,294.81,257.89,283.74,348.8,299.41,286.52,357.43,339.83,273.91,284.97,258.54,315.61,339.49,284.56,300.1,356.58,299.47,340.17,284.36,229.92,289.03,205.19,242.49,239.59,228.83,228.12,284.27,247.07,271.57,279.52,230.84,269.69,294.61,299.75,306.42,262.04,293.52,230.32,228.79,203.03,217.75,207.93,202.84,184.58,278.91,235.33,232.07,225.47,228.14,169.77,255.15,246.03,251.87,149.58,255.12,227.46,200.02,231.07,200.54,208.45,366.52,374.84,269.66,378.13,279.52,318.66,259.29,321.06,219.05,236.08,213.4,206.39,212.03,75.87,76.81,128.73,123.62,87.54,84.47,20.31,41.32,58.43,11.1,29.98,18.65,38.9,70.41,99.25,71.6,69.42,84.15,37.4,28.67,8.52,279.1,342.12,281.01,280.55
부산광역시 강서구,327.89,315.96,317.85,304.53,286.47,291.23,254.1,280.85,346.69,295.81,282.85,354.57,338.03,270.1,283.13,255.62,311.41,336.17,279.88,295.44,353.4,297.21,337.21,277.85,225.95,283.25,198.46,237.71,234.83,220.87,223.89,277.93,242.3,266.56,273.5,223.32,264.91,288.93,294.48,301.14,256.55,287.09,221.58,220.88,194.96,208.39,199.03,194.2,176.38,272.89,225.08,221.37,214.76,217.8,159.33,244.54,235.37,241.16,138.9,244.44,216.76,189.55,220.57,190.46,198.55,365.37,373.84,269.41,376.97,282.52,318.25,258.68,323.39,215.75,232.46,208.37,202.14,211.02,75.6,82.47,124.78,121.67,84.15,81.06,12.33,50.56,50.73,12.92,38.89,15.85,30.18,63.75,88.6,65.02,63.0,74.78,28.48,20.71,7.98,269.37,332.03,271.38,270.86
부산광역시 연제구,336.43,324.19,326.4,312.84,295.1,299.92,262.87,289.2,354.63,304.5,291.57,362.92,345.8,278.88,290.91,263.98,320.37,344.74,289.03,304.58,361.9,305.23,345.6,287.55,234.8,292.77,208.2,246.89,244.0,230.74,232.85,287.59,251.47,275.83,283.08,233.17,274.09,298.42,303.84,310.5,265.98,296.77,231.39,230.75,204.83,218.02,208.81,204.03,186.24,282.47,234.03,228.42,222.11,226.61,168.01,252.72,243.3,248.62,146.75,252.21,223.86,198.15,229.08,199.63,207.88,372.76,381.14,276.21,384.36,286.88,325.16,265.71,328.31,224.28,241.15,217.63,211.1,218.29,82.29,84.32,133.58,129.46,92.64,89.56,14.52,48.04,60.56,17.28,36.98,23.41,40.05,73.42,96.71,74.67,72.6,84.47,38.34,30.51,13.16,273.27,336.71,275.07,274.68
부산광역시 수영구,340.97,328.7,330.94,317.36,299.65,304.47,267.42,293.72,359.1,309.05,296.12,367.43,350.23,283.43,295.35,268.5,324.92,349.28,293.58,309.14,366.43,309.71,350.12,291.98,239.35,297.27,212.6,251.44,248.55,234.91,237.4,292.04,256.03,280.37,287.56,237.44,278.64,302.92,308.37,315.03,270.5,301.21,235.33,234.94,208.98,221.7,212.7,208.01,190.36,286.95,237.06,230.18,224.05,229.53,170.85,255.18,245.6,250.62,149.05,254.41,225.65,200.93,231.78,202.85,211.24,377.12,385.49,280.46,388.73,290.45,329.43,270.01,332.04,228.82,245.7,222.18,215.66,222.64,86.58,87.23,138.13,133.91,97.18,94.1,15.87,49.42,64.87,21.53,38.81,27.93,44.21,77.86,99.25,79.12,77.07,88.26,42.46,34.86,17.63,273.3,337.12,274.99,274.67
부산광역시 사상구,333.86,322.11,323.81,310.64,292.39,297.12,259.92,286.94,352.97,301.68,288.71,360.66,344.36,275.91,289.47,261.71,317.07,342.12,285.38,300.95,359.39,303.45,343.27,282.47,231.73,288.25,202.99,243.19,240.31,224.54,229.57,282.64,247.78,271.93,278.39,227.32,270.37,293.98,299.72,306.37,261.71,291.75,224.58,224.61,198.57,210.72,201.88,197.31,179.9,277.78,225.97,219.96,213.64,218.47,159.82,244.35,234.89,240.16,138.33,243.78,215.4,189.93,220.81,191.73,200.14,371.83,380.32,276.0,383.42,289.17,324.82,265.23,330.08,221.74,238.35,213.76,207.83,217.52,82.24,88.59,130.64,128.05,90.24,87.17,6.71,54.89,55.08,19.21,43.44,22.51,34.09,68.65,88.36,69.95,68.03,77.39,32.26,25.59,14.25,265.55,328.72,267.43,266.99
부산광역시 기장군,338.33,325.24,328.35,314.12,297.33,302.3,265.6,290.61,354.86,306.92,294.09,364.21,345.62,281.62,290.86,265.46,323.63,346.71,293.0,308.51,363.65,305.74,347.04,294.26,237.82,298.37,215.32,251.07,248.15,239.75,236.26,294.04,255.62,280.29,289.05,241.48,278.23,303.86,308.67,315.35,271.18,303.35,241.68,239.67,214.02,229.39,219.37,214.15,195.66,288.44,247.15,243.18,236.74,239.95,181.54,266.8,257.58,263.2,161.07,266.6,238.6,211.79,242.81,212.36,220.25,371.65,379.81,273.98,383.26,280.32,323.08,264.0,322.56,226.39,243.66,222.21,214.57,217.23,81.29,75.51,136.89,130.08,95.53,92.51,29.53,35.24,69.51,20.36,25.51,28.72,50.5,80.85,110.83,81.99,79.72,95.84,49.06,40.16,19.69,288.0,351.63,289.72,289.38
대구광역시 중구,249.26,236.33,239.29,225.12,208.32,213.33,176.84,201.58,266.47,217.96,205.17,275.22,257.62,192.83,202.73,176.41,235.14,257.64,205.34,220.75,274.58,217.12,258.01,212.5,149.32,213.61,136.73,163.91,160.97,168.74,148.16,211.49,168.39,193.41,205.24,166.97,190.86,218.69,222.26,228.95,185.74,221.06,177.93,168.13,145.27,174.02,158.8,151.01,129.54,204.64,207.03,231.19,221.56,203.01,152.92,238.4,233.22,244.89,147.86,243.87,226.35,180.89,210.74,170.79,174.27,284.85,293.35,189.48,296.44,211.01,238.1,178.43,248.95,137.39,154.81,136.02,126.67,130.58,12.71,57.31,50.02,41.28,13.48,12.67,90.39,78.21,49.43,71.28,74.51,64.93,61.95,39.33,106.5,38.6,37.61,69.58,63.57,64.15,75.02,305.3,359.88,308.83,307.33
대구광역시 동구,249.47,236.28,239.52,225.15,208.65,213.7,177.36,201.66,266.19,218.34,205.6,275.24,257.21,193.34,202.35,176.53,235.77,257.87,206.21,221.59,274.74,216.92,258.08,214.19,149.99,214.97,138.8,164.93,161.99,171.2,148.96,213.1,169.39,194.46,206.73,169.25,191.81,219.99,223.37,230.06,187.04,222.69,180.67,170.57,147.88,177.0,161.67,153.81,132.29,206.12,210.22,234.45,224.82,206.23,156.2,241.66,236.49,248.16,151.07,247.15,229.61,184.16,213.99,174.0,177.41,284.19,292.63,188.42,295.79,208.78,237.14,177.51,247.0,137.76,155.29,137.26,127.55,129.8,10.34,54.49,51.44,41.12,16.56,15.92,91.35,76.83,51.91,71.59,73.58,65.52,63.67,42.26,109.49,41.57,40.49,72.68,65.25,65.4,75.48,308.33,363.04,311.83,310.35
대구광역시 서구,246.38,233.7,236.4,222.43,205.34,210.3,173.69,198.84,264.1,214.93,202.11,272.52,255.38,189.69,200.48,173.65,231.89,254.75,201.88,217.32,271.75,214.67,255.27,208.51,146.05,209.81,132.57,160.35,157.42,164.49,144.78,207.54,164.85,189.82,201.37,162.75,187.35,214.93,218.62,225.31,181.99,217.1,173.71,163.89,141.03,169.92,154.63,146.81,125.32,200.76,203.23,228.25,218.52,199.31,149.65,234.88,229.84,241.69,145.22,240.53,223.41,177.43,207.17,167.03,170.38,282.9,291.46,188.05,294.48,211.3,236.54,176.82,248.77,134.4,151.7,132.31,123.23,128.83,16.96,61.49,46.24,39.04,9.52,9.28,92.17,82.1,48.99,73.82,78.12,67.21,62.77,37.9,104.72,37.05,36.31,67.52,64.46,65.62,77.41,303.34,357.46,306.93,305.39
대구광역시 남구,250.78,238.01,240.8,226.77,209.76,214.73,178.14,203.19,268.31,219.36,206.55,276.86,259.53,194.15,204.63,178.0,236.36,259.15,206.37,221.8,276.13,218.91,259.62,212.82,150.53,214.23,136.68,164.83,161.9,168.23,149.26,211.88,169.33,194.3,205.76,166.68,191.83,219.37,223.09,229.79,186.43,221.44,177.05,167.65,144.58,172.76,157.73,150.03,128.65,205.15,205.31,228.87,219.28,201.2,150.78,236.42,231.14,242.7,145.42,241.77,224.03,178.88,208.81,169.04,172.66,286.9,295.43,191.75,298.49,213.68,240.32,180.63,251.55,138.82,156.15,136.77,127.71,132.72,13.66,58.42,50.69,43.15,12.31,10.97,88.23,77.73,46.73,69.52,73.65,63.01,59.45,36.66,103.86,35.94,34.92,67.0,61.09,61.86,73.17,302.68,357.37,306.19,304.7
대구광역시 북구,246.53,233.64,236.55,222.42,205.57,210.57,174.07,198.87,263.84,215.2,202.42,272.52,255.02,190.07,200.13,173.69,232.37,254.91,202.56,217.97,271.85,214.47,255.3,209.86,146.55,210.89,134.23,161.14,158.21,166.48,145.39,208.82,165.62,190.65,202.55,164.59,188.09,215.96,219.5,226.19,183.01,218.4,175.93,165.86,143.14,172.33,156.96,149.08,127.55,201.94,205.81,230.87,221.15,201.92,152.29,237.52,232.48,244.33,147.8,243.17,226.03,180.07,209.8,169.62,172.92,282.34,290.86,187.15,293.93,209.47,235.72,176.03,247.17,134.64,152.04,133.28,123.89,128.13,14.98,59.23,47.3,38.66,12.1,11.92,92.82,80.91,50.83,73.93,77.28,67.51,63.99,40.13,107.09,39.32,38.48,69.96,65.65,66.46,77.64,305.76,360.0,309.34,307.81
대구광역시 수성구,251.62,238.61,241.65,227.43,210.71,215.73,179.27,203.9,268.67,220.36,207.59,277.52,259.76,195.26,204.89,178.74,237.6,260.0,207.83,223.24,276.92,219.35,260.33,215.01,151.78,216.14,139.18,166.42,163.48,171.05,150.64,214.01,170.9,195.92,207.77,169.36,193.36,221.22,224.77,231.46,188.27,223.58,180.08,170.46,147.51,175.94,160.84,153.1,131.68,207.16,208.59,232.01,222.44,204.48,154.01,239.68,234.38,245.91,148.46,245.01,227.17,182.14,212.08,172.32,175.93,286.88,295.36,191.31,298.48,211.98,239.99,180.33,250.17,139.78,157.23,138.54,129.16,132.55,10.53,55.27,52.54,43.5,15.41,14.22,88.49,75.68,48.73,69.07,72.0,62.84,60.53,39.27,106.53,38.62,37.48,69.84,62.12,62.41,72.88,305.4,360.29,308.88,307.42
대구광역시 달서구,248.58,236.27,238.57,224.9,207.38,212.28,175.47,201.25,266.98,216.89,204.01,274.97,258.42,191.48,203.52,176.04,233.47,256.91,203.07,218.55,274.01,217.47,257.66,208.26,147.65,210.17,131.62,161.34,158.41,162.65,146.15,207.43,165.87,190.74,201.51,161.33,188.43,215.38,219.41,226.1,182.48,216.96,171.17,162.1,138.84,166.7,151.74,144.1,122.77,200.9,199.23,223.34,213.67,195.15,144.98,230.47,225.27,236.96,140.16,235.93,218.5,172.95,202.83,162.97,166.56,286.26,294.89,191.94,297.83,216.26,240.29,180.55,253.5,136.48,153.57,132.96,124.51,132.45,19.72,64.47,46.99,42.4,6.55,4.86,88.87,82.3,44.11,71.48,77.61,64.54,58.65,32.71,99.49,31.85,31.15,62.3,60.39,62.06,74.85,298.11,352.33,301.71,300.17
